"No","Bulan","Tahun","Date String","Produksi (Jumlah) Limbah Infeksius"
"1","Januari","2020","Januari 1, 2020","10"
"2","Februari","2020","Februari 1, 2020","19"
"3","Maret","2020","Maret 1, 2020","7"
"4","April","2020","April 1, 2020","31"
"5","Mei","2020","Mei 1, 2020","27"
"6","Juni","2020","Juni 1, 2020","8"
"7","Juli","2020","Juli 1, 2020","13"
"8","Agustus","2020","Agustus 1, 2020","19"
"9","September","2020","September 1, 2020","21"
"10","Oktober","2020","Oktober 1, 2020","26"
"11","November","2020","November 1, 2020","17"
"12","Desember","2020","Desember 1, 2020","11"
"13","Januari","2021","Januari 1, 2021","7"
"14","Februari","2021","Februari 1, 2021","12"
"15","Maret","2021","Maret 1, 2021","25"
"16","May","2021","April 1, 2021","16"
"17","Mei","2021","Mei 1, 2021","9"
"18","Juni","2021","Juni 1, 2021","11"
"19","Juli","2021","Juli 1, 2021","18"
"20","Agustus","2021","Agustus 1, 2021","23"
"21","October","2021","September 1, 2021","34"
"22","Oktober","2021","Oktober 1, 2021","14"
"23","December","2021","November 1, 2021","22"
"24","Desember","2021","Desember 1, 2021","24"
"25","Januari","2022","Januari 1, 2022","17"
"26","Februari","2022","Februari 1, 2022","23"
"27","Maret","2022","Maret 1, 2022","15"
"28","June","2022","April 1, 2022","23"
"29","Mei","2022","Mei 1, 2022","33"
"30","Juni","2022","Juni 1, 2022","22"
"31","Juli","2022","Juli 1, 2022","28"
"32","Agustus","2022","Agustus 1, 2022","15"
"33","November","2022","September 1, 2022","8"
"34","Oktober","2022","Oktober 1, 2022","29"
"35","January","2022","November 1, 2022","13"
"36","Desember","2022","Desember 1, 2022","35"
